 Problema  ......................... biggs6    
 Numero de variables  ..............   6   
 Numero de restricciones ...........   0 

 ITER         f                ||g||   

   0    2.07690449e+01   8.47508366e+01  
   1    7.29067528e+12   1.87506444e+13  
   2    2.68720129e+12   6.90197680e+12  
   3    9.90669252e+11   2.54073411e+12  
   4    3.65315264e+11   9.35357225e+11  
   5    1.34752011e+11   3.44376337e+11  
   6    4.97224502e+10   1.26803891e+11  
   7    1.83546537e+10   4.66963147e+10  
   8    6.77874797e+09   1.71985703e+10  
   9    2.50498153e+09   6.33538419e+09  
  10    9.26329822e+08   2.33420262e+09  
  11    3.42850078e+08   8.60215439e+08  
  12    1.27032926e+08   3.17104669e+08  
  13    4.71339662e+07   1.16938154e+08  
  14    1.75204255e+07   4.31430518e+07  
  15    6.52863523e+06   1.59267187e+07  
  16    2.44109374e+06   5.88421401e+06  
  17    9.17274183e+05   2.17633140e+06  
  18    3.47286308e+05   8.06180944e+05  
  19    1.33076141e+05   2.99312341e+05  
  20    5.20275474e+04   1.11512520e+05  
  21    2.10676976e+04   4.17775323e+04  
  22    9.09833859e+03   1.58012150e+04  
  23    4.44606150e+03   6.08516386e+03  
  24    2.78515305e+03   2.45397681e+03  
  25    2.76707802e+03   1.19289749e+03  
  26    2.66282872e+03   6.67172329e+02  
  27    1.37727049e+03   2.90041384e+02  
  28    5.84347760e+02   1.13697101e+02  
  29    2.36983460e+02   4.30160277e+01  
  30    9.88723321e+01   1.61129212e+01  
  31    4.52440100e+01   6.04033842e+00  
  32    2.42925109e+01   2.27942455e+00  
  33    1.59195303e+01   8.69267391e-01  
  34    1.24595044e+01   3.35512248e-01  
  35    1.09777427e+01   1.30609993e-01  
  36    1.03299058e+01   5.07504515e-02  
  37    1.00505600e+01   1.94444934e-02  
  38    9.93562736e+00   7.31874082e-03  
  39    9.89070943e+00   2.72054908e-03  
  40    9.87373485e+00   1.00503199e-03  
  41    9.86742298e+00   3.70320911e-04  
  42    9.86509151e+00   1.36314502e-04  
  43    9.86423252e+00   5.01583310e-05  
  44    9.86391633e+00   1.84537142e-05  
  45    9.86379999e+00   6.78894462e-06  
  46    9.86375719e+00   2.49754057e-06  
  47    9.86374144e+00   9.18797541e-07  
