 Problema  ......................... denschnd    
 Numero de variables  ..............   3   
 Numero de restricciones ...........   0 

 ITER         f                ||g||   

   0    2.44265042e+07   2.45652484e+07  
   1    7.16404904e+06   8.36260733e+06  
   2    2.09916829e+06   2.84608571e+06  
   3    6.14488648e+05   9.68328331e+05  
   4    1.79715527e+05   3.29358509e+05  
   5    5.25236699e+04   1.12002754e+05  
   6    1.53453696e+04   3.80867066e+04  
   7    4.48426458e+03   1.29533749e+04  
   8    1.31212076e+03   4.40701656e+03  
   9    3.85582325e+02   1.50030151e+03  
  10    1.15007396e+02   5.11228556e+02  
  11    3.70167026e+01   1.73415771e+02  
  12    1.93605015e+05   1.53766347e+05  
  13    5.04017372e+04   5.03413844e+04  
  14    1.31640518e+04   1.64883329e+04  
  15    3.45583956e+03   5.40383301e+03  
  16    9.15333076e+02   1.77283660e+03  
  17    2.46676054e+02   5.82659214e+02  
  18    6.90866458e+01   1.92028326e+02  
  19    2.18930007e+01   6.26908980e+01  
  20    1.83304760e+00   9.22361092e+00  
  21    4.61745153e-01   3.01031279e+00  
  22    1.18091178e-01   9.80801560e-01  
  23    3.03014055e-02   3.19656668e-01  
  24    7.80347305e-03   1.04247295e-01  
  25    2.01733897e-03   3.40195075e-02  
  26    5.23331255e-04   1.11078295e-02  
  27    1.36143307e-04   3.62846325e-03  
  28    3.54932846e-05   1.18570009e-03  
  29    9.26788756e-06   3.87580944e-04  
  30    2.42275840e-06   1.26726933e-04  
  31    6.33860075e-07   4.14459043e-05  
  32    1.65931320e-07   1.35578178e-05  
  33    4.34551890e-08   4.43592239e-06  
  34    1.13836345e-08   1.45162812e-06  
  35    2.98269728e-09   4.75112070e-07  
